region_id,기준일자,주민등록인구,생활인구,주간생활인구,야간생활인구,주야간생활인구비율,세대수
1156058500,2026-05,,14657.37,12376.44,16286.6,0.76,
1156060500,2026-05,,33861.88,38603.75,30474.83,1.27,
1156061000,2026-05,,19803.62,19575.57,19966.51,0.98,
1156062000,2026-05,,25438.85,28584.23,23192.15,1.23,
1156063000,2026-05,,17671.01,16166.02,18746.0,0.86,
1156065000,2026-05,,13038.4,10902.98,14563.7,0.75,
1156066000,2026-05,,6631.28,5871.19,7174.21,0.82,
1156067000,2026-05,,9423.99,8805.36,9865.87,0.89,
1156068000,2026-05,,19339.59,16475.58,21385.31,0.77,
1156069000,2026-05,,18049.33,16840.34,18912.89,0.89,
1156070000,2026-05,,14244.41,14546.91,14028.34,1.04,
1156071000,2026-05,,16537.99,15655.07,17168.64,0.91,
1156072000,2026-05,,22833.24,21917.98,23487.0,0.93,
1159051000,2026-05,,35298.65,35258.26,35327.5,1.0,
1159052000,2026-05,,14668.1,15003.89,14428.26,1.04,
1159053000,2026-05,,44280.2,40018.51,47324.25,0.85,
1159054000,2026-05,,18791.87,17604.71,19639.84,0.9,
1159055000,2026-05,,16188.61,13395.36,18183.79,0.74,
1159056000,2026-05,,18742.74,15078.83,21359.81,0.71,
1159060500,2026-05,,32803.94,34710.65,31442.01,1.1,
1159062000,2026-05,,20709.54,18619.29,22202.59,0.84,
1159063000,2026-05,,31944.59,31746.3,32086.22,0.99,
1159064000,2026-05,,16212.95,13435.57,18196.79,0.74,
1159065000,2026-05,,13161.26,11145.63,14600.99,0.76,
1159065100,2026-05,,10450.56,9188.78,11351.83,0.81,
1159066000,2026-05,,44113.48,41563.95,45934.57,0.9,
1159067000,2026-05,,19662.25,17405.83,21273.98,0.82,
1159068000,2026-05,,21440.9,22978.13,20342.88,1.13,
1162052500,2026-05,,17674.89,16506.11,18509.74,0.89,
1162054500,2026-05,,11411.81,9089.81,13070.38,0.7,
1162056500,2026-05,,20146.05,16729.13,22586.7,0.74,
1162057500,2026-05,,23639.82,21077.17,25470.29,0.83,
1162058500,2026-05,,25830.64,25268.32,26232.29,0.96,
1162059500,2026-05,,39172.89,34613.82,42429.38,0.82,
1162060500,2026-05,,26524.3,22703.68,29253.31,0.78,
1162061500,2026-05,,12698.49,11382.81,13638.27,0.83,
1162062500,2026-05,,21434.41,17734.65,24077.09,0.74,
1162063000,2026-05,,21521.63,20476.63,22268.05,0.92,
1162064500,2026-05,,19184.38,16941.08,20786.73,0.81,
1162065500,2026-05,,14847.09,12416.44,16583.27,0.75,
1162066500,2026-05,,17190.9,13831.66,19590.36,0.71,
1162068500,2026-05,,18844.75,15994.9,20880.36,0.77,
1162069500,2026-05,,28756.64,26511.77,30360.12,0.87,
1162071500,2026-05,,7826.16,6408.44,8838.81,0.73,
1162072500,2026-05,,38841.73,40805.68,37438.91,1.09,
1162073500,2026-05,,36744.11,43343.77,32030.07,1.35,
1162074500,2026-05,,18267.57,15925.78,19940.27,0.8,
1162076500,2026-05,,19794.69,17565.32,21387.09,0.82,
1162077500,2026-05,,16093.45,13947.42,17626.33,0.79,
1165051000,2026-05,,28720.51,32550.53,25984.79,1.25,
1165052000,2026-05,,44231.11,55623.73,36093.52,1.54,
1165053000,2026-05,,63397.86,82241.63,49938.03,1.65,
1165053100,2026-05,,39264.41,44920.08,35224.65,1.28,
1165054000,2026-05,,37008.36,36968.84,37036.59,1.0,
1165055000,2026-05,,5911.43,7203.43,4988.58,1.44,
1165056000,2026-05,,34187.6,36072.67,32841.12,1.1,
1165057000,2026-05,,26161.68,27123.39,25474.74,1.06,
1165058000,2026-05,,24721.61,25603.77,24091.5,1.06,
1165058100,2026-05,,42188.54,53210.37,34315.81,1.55,
1165059000,2026-05,,17349.76,16503.19,17954.46,0.92,
1165060000,2026-05,,19750.56,22526.0,17768.11,1.27,
1165061000,2026-05,,17575.95,18841.36,16672.09,1.13,
1165062000,2026-05,,24206.37,20686.95,26720.24,0.77,
1165062100,2026-05,,27350.37,27065.42,27553.9,0.98,
1165065100,2026-05,,58065.35,66222.17,52239.05,1.27,
1165065200,2026-05,,37480.13,46429.61,31087.65,1.49,
1165066000,2026-05,,21800.85,24091.07,20164.97,1.19,
1168051000,2026-05,,32885.48,42708.95,25868.72,1.65,
1168052100,2026-05,,37942.11,44769.71,33065.26,1.35,
1168053100,2026-05,,44687.0,56276.25,36408.97,1.55,
1168054500,2026-05,,40402.79,51203.69,32687.87,1.57,
1168056500,2026-05,,40699.46,49796.8,34201.37,1.46,
1168058000,2026-05,,39870.43,61104.23,24703.42,2.47,
1168059000,2026-05,,36744.44,40760.87,33875.56,1.2,
1168060000,2026-05,,29129.95,29581.49,28807.42,1.03,
1168061000,2026-05,,48382.58,59441.36,40483.46,1.47,
1168063000,2026-05,,39785.99,48105.95,33843.17,1.42,
1168064000,2026-05,,92818.26,124064.0,70499.88,1.76,
1168065000,2026-05,,51495.69,56732.03,47755.45,1.19,
1168065500,2026-05,,43673.78,45869.29,42105.57,1.09,
1168065600,2026-05,,25744.36,26104.01,25487.46,1.02,
1168066000,2026-05,,24920.06,20421.21,28133.53,0.73,
1168067000,2026-05,,29154.2,27407.46,30401.88,0.9,
1168069000,2026-05,,15552.41,14905.97,16014.16,0.93,
1168070000,2026-05,,45178.56,39750.22,49055.95,0.81,
1168072000,2026-05,,22447.93,21108.22,23404.87,0.9,
1168073000,2026-05,,13247.32,12983.7,13435.63,0.97,
1168074000,2026-05,,17421.97,15661.62,18679.36,0.84,
1168075000,2026-05,,23670.4,27606.43,20858.95,1.32,
1171051000,2026-05,,12819.87,12123.68,13317.15,0.91,
1171052000,2026-05,,31986.84,34110.29,30470.09,1.12,
