region_id,area_km2,centroid_lon,centroid_lat,map_x,map_y
1153075000,0.781891,126.856485,37.492572,0.218146,0.761518
1153076000,0.827819,126.85222,37.486538,0.20784,0.783511
1153077000,0.727083,126.841648,37.496868,0.182819,0.745499
1153078000,3.058879,126.838451,37.4853,0.174944,0.787762
1153079000,2.659441,126.826017,37.498437,0.14554,0.739437
1153080000,1.445902,126.824596,37.481035,0.141775,0.803079
1154551000,2.51102,126.883791,37.476661,0.283017,0.820269
1154561000,2.060413,126.892496,37.464308,0.303561,0.865633
1154562000,0.616755,126.902732,37.46395,0.328,0.867134
1154563000,0.934299,126.904606,37.475786,0.332697,0.823859
1154564000,0.590578,126.904091,37.469175,0.331342,0.84804
1154567000,1.522242,126.900148,37.45241,0.321607,0.909307
1154568000,1.307918,126.919824,37.450904,0.368573,0.915178
1154569000,1.260465,126.906,37.440078,0.335351,0.954538
1154570000,0.821106,126.909309,37.460069,0.343631,0.881452
1154571000,1.385953,126.912357,37.447462,0.350676,0.927637
1156051500,0.845749,126.909531,37.513675,0.34517,0.685318
1156053500,1.371376,126.907599,37.521593,0.340708,0.656312
1156054000,8.431316,126.928472,37.528506,0.39064,0.631394
1156055000,0.744759,126.896779,37.523902,0.314935,0.647661
1156056000,1.579861,126.902371,37.534108,0.328472,0.610425
1156058500,0.585455,126.900558,37.509111,0.32367,0.701852
1156060500,1.785403,126.891059,37.516531,0.301143,0.674525
1156061000,0.9742,126.886718,37.525457,0.290957,0.641783
1156062000,2.872496,126.890591,37.543506,0.30055,0.575818
1156063000,0.722392,126.919479,37.512431,0.368888,0.69005
1156065000,0.519702,126.905772,37.506238,0.336059,0.712459
1156066000,0.322364,126.912829,37.50688,0.352913,0.710239
1156067000,0.49429,126.905512,37.50096,0.335337,0.731766
1156068000,0.617899,126.913588,37.498791,0.354572,0.739852
1156069000,0.646693,126.919562,37.505941,0.368966,0.713797
1156070000,0.498612,126.905216,37.493679,0.334494,0.758404
1156071000,0.572128,126.900503,37.48962,0.323165,0.773166
1156072000,0.921022,126.897142,37.500001,0.315341,0.73512
1159051000,1.612249,126.948958,37.512236,0.439233,0.69128
