시도명,시군구명,행정동코드,행정동명,법정동코드,법정동명,개정일자,연결번호
서울특별시,서초구,1165058000,반포3동,1165010600,잠원동,2025-04-01,484
서울특별시,서초구,1165058100,반포4동,1165010700,반포동,2025-04-01,485
서울특별시,서초구,1165055000,반포본동,1165010700,반포동,2025-04-01,481
서울특별시,서초구,1165060000,방배1동,1165010100,방배동,2025-04-01,487
서울특별시,서초구,1165061000,방배2동,1165010100,방배동,2025-04-01,488
서울특별시,서초구,1165062000,방배3동,1165010100,방배동,2025-04-01,489
서울특별시,서초구,1165062100,방배4동,1165010100,방배동,2025-04-01,490
서울특별시,서초구,1165059000,방배본동,1165010100,방배동,2025-04-01,486
서울특별시,서초구,1165051000,서초1동,1165010800,서초동,2025-04-01,476
서울특별시,서초구,1165052000,서초2동,1165010800,서초동,2025-04-01,477
서울특별시,서초구,1165053000,서초3동,1165010100,방배동,2025-04-01,478
서울특별시,서초구,1165053000,서초3동,1165010800,서초동,2025-04-01,478
서울특별시,서초구,1165053100,서초4동,1165010800,서초동,2025-04-01,479
서울특별시,서초구,1165065100,양재1동,1165010200,양재동,2025-04-01,491
서울특별시,서초구,1165065100,양재1동,1165010300,우면동,2025-04-01,491
서울특별시,서초구,1165065200,양재2동,1165010200,양재동,2025-04-01,492
서울특별시,서초구,1165065200,양재2동,1165010400,원지동,2025-04-01,492
서울특별시,서초구,1165054000,잠원동,1165010600,잠원동,2025-04-01,480
서울특별시,성동구,1120059000,금호1가동,1120010900,금호동1가,2025-04-01,73
서울특별시,성동구,1120061500,금호2·3가동,1120011000,금호동2가,2025-04-01,74
서울특별시,성동구,1120061500,금호2·3가동,1120011100,금호동3가,2025-04-01,74
서울특별시,성동구,1120062000,금호4가동,1120011200,금호동4가,2025-04-01,76
서울특별시,성동구,1120054000,마장동,1120010500,마장동,2025-04-01,68
서울특별시,성동구,1120055000,사근동,1120010600,사근동,2025-04-01,69
서울특별시,성동구,1120055000,사근동,1120010700,행당동,2025-04-01,69
서울특별시,성동구,1120065000,성수1가1동,1120011400,성수동1가,2025-04-01,79
서울특별시,성동구,1120066000,성수1가2동,1120011400,성수동1가,2025-04-01,80
서울특별시,성동구,1120067000,성수2가1동,1120011500,성수동2가,2025-04-01,81
서울특별시,성동구,1120069000,성수2가3동,1120011500,성수동2가,2025-04-01,82
서울특별시,성동구,1120072000,송정동,1120011800,송정동,2025-04-01,83
서울특별시,성동구,1120064500,옥수동,1120011300,옥수동,2025-04-01,77
서울특별시,성동구,1120052000,왕십리2동,1120010200,하왕십리동,2025-04-01,67
서울특별시,성동구,1120053500,왕십리도선동,1120010400,도선동,2025-04-01,65
서울특별시,성동구,1120053500,왕십리도선동,1120010100,상왕십리동,2025-04-01,65
서울특별시,성동구,1120053500,왕십리도선동,1120010200,하왕십리동,2025-04-01,65
서울특별시,성동구,1120053500,왕십리도선동,1120010300,홍익동,2025-04-01,65
